Transaction ID;Date;Customer ID;Gender;Age;Product Category;Quantity;Price per Unit;Total Amount;Postcode
107;3-2-2025;CUST107;Female;21;Clothing;4;€ 300,00;€ 1.200,00;4002AL
108;19-4-2025;CUST108;Female;27;Beauty;3;€ 25,00;€ 75,00;4002AL
109;18-10-2025;CUST109;Female;34;Electronics;4;€ 500,00;€ 2.000,00;4002AL
110;11-6-2025;CUST110;Male;27;Clothing;3;€ 300,00;€ 900,00;4002AL
111;19-4-2025;CUST111;Female;34;Electronics;3;€ 500,00;€ 1.500,00;4002AL
112;2-12-2025;CUST112;Male;37;Clothing;3;€ 500,00;€ 1.500,00;4002AL
113;13-9-2025;CUST113;Female;41;Electronics;2;€ 25,00;€ 50,00;4002AL
114;22-7-2025;CUST114;Female;22;Beauty;4;€ 25,00;€ 100,00;4002AL
115;26-11-2025;CUST115;Male;51;Clothing;3;€ 500,00;€ 1.500,00;4002AL
116;23-8-2025;CUST116;Female;23;Clothing;1;€ 30,00;€ 30,00;4002AL
117;15-3-2025;CUST117;Male;19;Electronics;2;€ 500,00;€ 1.000,00;4002AL
118;16-5-2025;CUST118;Female;30;Electronics;4;€ 500,00;€ 2.000,00;4002AL
119;13-3-2025;CUST119;Female;60;Clothing;3;€ 50,00;€ 150,00;4002AL
120;7-5-2025;CUST120;Male;60;Beauty;1;€ 50,00;€ 50,00;4002AL
121;15-10-2025;CUST121;Female;28;Electronics;4;€ 50,00;€ 200,00;4002AL
122;3-10-2025;CUST122;Male;64;Electronics;4;€ 30,00;€ 120,00;4002AL
123;15-5-2025;CUST123;Female;40;Electronics;2;€ 30,00;€ 60,00;4002AL
124;27-10-2025;CUST124;Male;33;Clothing;4;€ 500,00;€ 2.000,00;4002AL
125;8-8-2025;CUST125;Male;48;Clothing;2;€ 50,00;€ 100,00;4002AL
126;26-10-2025;CUST126;Female;28;Clothing;3;€ 30,00;€ 90,00;4001RK
127;24-7-2025;CUST127;Female;33;Clothing;2;€ 25,00;€ 50,00;4001RK
128;5-7-2025;CUST128;Male;25;Beauty;1;€ 500,00;€ 500,00;4001RK
129;23-4-2025;CUST129;Female;21;Beauty;2;€ 300,00;€ 600,00;4001RK
130;12-3-2025;CUST130;Female;57;Clothing;1;€ 500,00;€ 500,00;4001RK
131;18-9-2025;CUST131;Female;21;Beauty;2;€ 300,00;€ 600,00;4001RK
132;10-9-2025;CUST132;Male;42;Electronics;4;€ 50,00;€ 200,00;4001RK
133;16-2-2025;CUST133;Male;20;Electronics;3;€ 300,00;€ 900,00;4001RK
134;25-1-2025;CUST134;Male;49;Electronics;1;€ 50,00;€ 50,00;4001RK
135;26-2-2025;CUST135;Male;20;Clothing;2;€ 25,00;€ 50,00;4001RK
136;20-3-2025;CUST136;Male;44;Electronics;2;€ 300,00;€ 600,00;4001RK
137;18-11-2025;CUST137;Male;46;Beauty;2;€ 500,00;€ 1.000,00;4001RK
138;23-3-2025;CUST138;Male;49;Clothing;4;€ 50,00;€ 200,00;4001RK
139;15-12-2025;CUST139;Male;36;Beauty;4;€ 500,00;€ 2.000,00;4001RK
140;5-8-2025;CUST140;Male;38;Electronics;1;€ 30,00;€ 30,00;4001RK
141;2-11-2025;CUST141;Female;22;Electronics;1;€ 50,00;€ 50,00;4001RK
142;2-2-2025;CUST142;Male;35;Electronics;4;€ 300,00;€ 1.200,00;4001RK
143;17-7-2025;CUST143;Female;45;Clothing;1;€ 50,00;€ 50,00;4001RK
144;15-7-2025;CUST144;Female;59;Beauty;3;€ 500,00;€ 1.500,00;4001RK
145;2-11-2025;CUST145;Female;39;Clothing;3;€ 25,00;€ 75,00;4001RK
146;28-8-2025;CUST146;Male;38;Clothing;4;€ 50,00;€ 200,00;4001RK
147;28-9-2025;CUST147;Male;23;Electronics;1;€ 300,00;€ 300,00;4001RK
148;9-5-2025;CUST148;Male;18;Clothing;2;€ 30,00;€ 60,00;4001RK
149;11-10-2025;CUST149;Male;22;Clothing;3;€ 25,00;€ 75,00;4001RK
150;6-1-2025;CUST150;Female;58;Electronics;4;€ 30,00;€ 120,00;4001RK
151;15-12-2025;CUST151;Male;29;Clothing;1;€ 50,00;€ 50,00;4001RK
152;28-2-2025;CUST152;Male;43;Electronics;4;€ 500,00;€ 2.000,00;4001RK
153;16-12-2025;CUST153;Male;63;Electronics;2;€ 500,00;€ 1.000,00;4001RK
154;2-10-2025;CUST154;Male;51;Electronics;3;€ 300,00;€ 900,00;4001RK
155;17-5-2025;CUST155;Male;31;Electronics;4;€ 500,00;€ 2.000,00;4001RK
156;25-11-2025;CUST156;Female;43;Clothing;4;€ 25,00;€ 100,00;4001RK
157;24-6-2025;CUST157;Male;62;Electronics;4;€ 500,00;€ 2.000,00;4001RK
158;27-2-2025;CUST158;Female;44;Electronics;2;€ 300,00;€ 600,00;4001RK
159;31-5-2025;CUST159;Male;26;Clothing;4;€ 50,00;€ 200,00;4001RK
160;11-8-2025;CUST160;Female;43;Clothing;2;€ 50,00;€ 100,00;4001RK
161;22-3-2025;CUST161;Male;64;Beauty;2;€ 500,00;€ 1.000,00;4001RK
162;21-8-2025;CUST162;Male;39;Clothing;2;€ 30,00;€ 60,00;4001RK
163;2-1-2025;CUST163;Female;64;Clothing;3;€ 50,00;€ 150,00;4001RK
164;15-5-2025;CUST164;Female;47;Beauty;3;€ 500,00;€ 1.500,00;4001RK
165;14-9-2025;CUST165;Female;60;Clothing;4;€ 300,00;€ 1.200,00;4001RK
166;2-4-2025;CUST166;Male;34;Clothing;4;€ 500,00;€ 2.000,00;4001RK
167;17-9-2025;CUST167;Female;43;Clothing;3;€ 50,00;€ 150,00;4001RK
168;24-2-2025;CUST168;Male;53;Clothing;1;€ 300,00;€ 300,00;4001RK
169;17-11-2025;CUST169;Male;18;Beauty;3;€ 500,00;€ 1.500,00;4001RK
170;2-6-2025;CUST170;Female;25;Clothing;2;€ 25,00;€ 50,00;4001RK
171;24-11-2025;CUST171;Female;52;Clothing;3;€ 300,00;€ 900,00;4001RK
172;17-9-2025;CUST172;Male;32;Beauty;2;€ 25,00;€ 50,00;4001RK
173;8-11-2025;CUST173;Male;64;Electronics;4;€ 30,00;€ 120,00;4001RK
174;12-4-2025;CUST174;Female;39;Beauty;1;€ 300,00;€ 300,00;4001RK
175;20-3-2025;CUST175;Female;31;Electronics;4;€ 25,00;€ 100,00;4001RK
176;11-7-2025;CUST176;Female;43;Beauty;2;€ 50,00;€ 100,00;4001RK
177;24-3-2025;CUST177;Male;45;Beauty;2;€ 50,00;€ 100,00;4001RK
178;4-10-2025;CUST178;Male;40;Clothing;2;€ 30,00;€ 60,00;4001RK
179;29-9-2025;CUST179;Male;31;Electronics;1;€ 300,00;€ 300,00;4001RK
180;1-1-2025;CUST180;Male;41;Clothing;3;€ 300,00;€ 900,00;4001RK
181;3-11-2025;CUST181;Male;19;Electronics;4;€ 300,00;€ 1.200,00;4001RK
182;15-6-2025;CUST182;Male;62;Beauty;4;€ 30,00;€ 120,00;4001RK
183;8-9-2025;CUST183;Female;43;Beauty;3;€ 300,00;€ 900,00;4001RK
184;10-1-2025;CUST184;Male;31;Electronics;4;€ 50,00;€ 200,00;4001RK
185;27-2-2025;CUST185;Male;24;Clothing;1;€ 25,00;€ 25,00;4001RK
186;5-7-2025;CUST186;Male;20;Clothing;4;€ 50,00;€ 200,00;4001RK
187;7-6-2025;CUST187;Female;64;Clothing;2;€ 50,00;€ 100,00;4001RK
188;3-5-2025;CUST188;Male;40;Clothing;3;€ 25,00;€ 75,00;4001RK
189;30-1-2025;CUST189;Male;63;Beauty;1;€ 50,00;€ 50,00;4001RK
190;4-5-2025;CUST190;Female;60;Beauty;3;€ 30,00;€ 90,00;4001RK
191;18-10-2025;CUST191;Male;64;Beauty;1;€ 25,00;€ 25,00;4001RK
192;10-2-2025;CUST192;Male;62;Beauty;2;€ 50,00;€ 100,00;4001RK
193;13-2-2025;CUST193;Male;35;Beauty;3;€ 500,00;€ 1.500,00;4001RK
194;6-9-2025;CUST194;Male;55;Clothing;4;€ 50,00;€ 200,00;4001RK
195;5-2-2025;CUST195;Male;52;Clothing;1;€ 30,00;€ 30,00;4001RK
196;30-9-2025;CUST196;Female;32;Clothing;3;€ 300,00;€ 900,00;4001RK
197;6-3-2025;CUST197;Female;42;Clothing;4;€ 50,00;€ 200,00;4001RK
198;7-3-2025;CUST198;Female;54;Beauty;3;€ 300,00;€ 900,00;4001RK
199;4-12-2025;CUST199;Male;45;Beauty;3;€ 500,00;€ 1.500,00;4001RK
200;1-9-2025;CUST200;Male;27;Beauty;3;€ 50,00;€ 150,00;4001RK
201;9-10-2025;CUST201;Male;56;Electronics;1;€ 25,00;€ 25,00;4001RK
202;26-3-2025;CUST202;Female;34;Clothing;4;€ 300,00;€ 1.200,00;4001RK
203;16-5-2025;CUST203;Male;56;Clothing;2;€ 500,00;€ 1.000,00;4001RK
204;28-9-2025;CUST204;Male;39;Beauty;1;€ 25,00;€ 25,00;4001RK
205;7-11-2025;CUST205;Female;43;Clothing;1;€ 25,00;€ 25,00;4001RK
206;5-8-2025;CUST206;Male;61;Clothing;1;€ 25,00;€ 25,00;4001RK
207;19-4-2025;CUST207;Female;42;Beauty;2;€ 25,00;€ 50,00;4001RK
208;4-10-2025;CUST208;Female;34;Electronics;4;€ 50,00;€ 200,00;4001RK
209;20-12-2025;CUST209;Female;30;Electronics;4;€ 50,00;€ 200,00;4001RK
210;13-4-2025;CUST210;Male;37;Electronics;4;€ 50,00;€ 200,00;4001RK
211;1-1-2024;CUST211;Male;42;Beauty;3;€ 500,00;€ 1.500,00;4001RK
212;9-6-2025;CUST212;Male;21;Clothing;3;€ 500,00;€ 1.500,00;4001RK
213;24-7-2025;CUST213;Male;27;Beauty;3;€ 500,00;€ 1.500,00;4001RK
214;10-12-2025;CUST214;Male;20;Beauty;2;€ 30,00;€ 60,00;4001RK
215;29-11-2025;CUST215;Male;58;Clothing;3;€ 500,00;€ 1.500,00;4001RK
216;11-7-2025;CUST216;Male;62;Electronics;2;€ 50,00;€ 100,00;4001RK
217;13-8-2025;CUST217;Female;35;Electronics;4;€ 50,00;€ 200,00;4001RK
218;22-9-2025;CUST218;Male;64;Beauty;3;€ 30,00;€ 90,00;4001RK
219;20-8-2025;CUST219;Female;53;Electronics;3;€ 30,00;€ 90,00;4001RK
220;3-3-2025;CUST220;Male;64;Beauty;1;€ 500,00;€ 500,00;4001RK
221;7-5-2025;CUST221;Male;39;Beauty;2;€ 300,00;€ 600,00;4001RK
222;26-4-2025;CUST222;Male;51;Clothing;4;€ 30,00;€ 120,00;4001RK
223;2-2-2025;CUST223;Female;64;Clothing;1;€ 25,00;€ 25,00;4001RK
224;23-6-2025;CUST224;Female;25;Clothing;1;€ 50,00;€ 50,00;4001RK
225;11-1-2025;CUST225;Female;57;Beauty;4;€ 25,00;€ 100,00;4001RK
226;29-10-2025;CUST226;Female;61;Clothing;1;€ 50,00;€ 50,00;4001RK
227;11-10-2025;CUST227;Male;36;Electronics;2;€ 50,00;€ 100,00;4001RK
228;28-4-2025;CUST228;Female;59;Electronics;2;€ 30,00;€ 60,00;4001RK
229;29-10-2025;CUST229;Male;58;Beauty;3;€ 30,00;€ 90,00;4001RK
230;23-4-2025;CUST230;Male;54;Beauty;1;€ 25,00;€ 25,00;4001RK
231;4-1-2025;CUST231;Female;23;Clothing;3;€ 50,00;€ 150,00;4001RK
232;6-2-2025;CUST232;Female;43;Beauty;1;€ 25,00;€ 25,00;4001RK
233;29-12-2025;CUST233;Female;51;Beauty;2;€ 300,00;€ 600,00;4001RK
234;20-11-2025;CUST234;Female;62;Electronics;2;€ 25,00;€ 50,00;4001RK
235;31-1-2025;CUST235;Female;23;Electronics;2;€ 500,00;€ 1.000,00;4001RK
236;28-4-2025;CUST236;Female;54;Clothing;1;€ 25,00;€ 25,00;4001RK
237;4-2-2025;CUST237;Female;50;Beauty;2;€ 500,00;€ 1.000,00;4001RK
238;17-1-2025;CUST238;Female;39;Beauty;1;€ 500,00;€ 500,00;4001RK
239;19-6-2025;CUST239;Male;38;Electronics;3;€ 500,00;€ 1.500,00;4001RK
240;6-2-2025;CUST240;Female;23;Beauty;1;€ 300,00;€ 300,00;4001RK
241;21-9-2025;CUST241;Female;23;Electronics;3;€ 25,00;€ 75,00;4001RK
242;2-5-2025;CUST242;Male;21;Clothing;1;€ 25,00;€ 25,00;4001RK
243;23-5-2025;CUST243;Female;47;Electronics;3;€ 300,00;€ 900,00;4001RK
244;9-12-2025;CUST244;Male;28;Beauty;2;€ 50,00;€ 100,00;4001RK
245;6-9-2025;CUST245;Male;47;Clothing;3;€ 30,00;€ 90,00;4001RK
246;20-4-2025;CUST246;Female;48;Electronics;2;€ 25,00;€ 50,00;4001RK
247;4-10-2025;CUST247;Male;41;Electronics;2;€ 30,00;€ 60,00;4001RK
248;9-3-2025;CUST248;Male;26;Clothing;3;€ 300,00;€ 900,00;4001RK
249;20-10-2025;CUST249;Male;20;Clothing;1;€ 50,00;€ 50,00;4001RK
250;23-10-2025;CUST250;Male;48;Electronics;1;€ 50,00;€ 50,00;4001RK
251;31-8-2025;CUST251;Female;57;Beauty;4;€ 50,00;€ 200,00;4001RK
252;5-5-2025;CUST252;Male;54;Electronics;1;€ 300,00;€ 300,00;4001RK
253;31-8-2025;CUST253;Female;53;Clothing;4;€ 500,00;€ 2.000,00;4001RK
254;28-7-2025;CUST254;Male;41;Electronics;1;€ 500,00;€ 500,00;4001RK
255;8-4-2025;CUST255;Male;48;Clothing;1;€ 30,00;€ 30,00;4001RK
256;18-2-2025;CUST256;Male;23;Clothing;2;€ 500,00;€ 1.000,00;4001RK
257;19-2-2025;CUST257;Male;19;Beauty;4;€ 500,00;€ 2.000,00;4001RK
258;4-12-2025;CUST258;Female;37;Clothing;1;€ 50,00;€ 50,00;4001RK
259;9-8-2025;CUST259;Female;45;Clothing;4;€ 50,00;€ 200,00;4001RK
260;1-7-2025;CUST260;Male;28;Beauty;2;€ 30,00;€ 60,00;4001RK
261;5-8-2025;CUST261;Male;21;Clothing;2;€ 25,00;€ 50,00;4001RK
262;30-7-2025;CUST262;Female;32;Beauty;4;€ 30,00;€ 120,00;4001RK
263;28-8-2025;CUST263;Male;23;Beauty;2;€ 30,00;€ 60,00;4001RK
264;28-1-2025;CUST264;Male;47;Clothing;3;€ 300,00;€ 900,00;4001RK
265;11-12-2025;CUST265;Male;55;Clothing;3;€ 300,00;€ 900,00;4001RK
266;1-12-2025;CUST266;Female;19;Electronics;2;€ 30,00;€ 60,00;4001RK
267;27-11-2025;CUST267;Female;32;Beauty;3;€ 30,00;€ 90,00;4001RK
268;20-2-2025;CUST268;Female;28;Electronics;1;€ 30,00;€ 30,00;4001RK
269;1-2-2025;CUST269;Male;25;Clothing;4;€ 500,00;€ 2.000,00;4001RK
270;26-7-2025;CUST270;Male;43;Electronics;1;€ 300,00;€ 300,00;4001RK
271;23-6-2025;CUST271;Female;62;Beauty;4;€ 30,00;€ 120,00;4001RK
272;25-2-2025;CUST272;Female;61;Electronics;2;€ 50,00;€ 100,00;4001RK
273;8-5-2025;CUST273;Female;22;Beauty;1;€ 50,00;€ 50,00;4001RK
274;9-4-2025;CUST274;Female;23;Clothing;2;€ 500,00;€ 1.000,00;4001RK
275;8-4-2025;CUST275;Male;43;Clothing;2;€ 500,00;€ 1.000,00;4001RK
276;2-10-2025;CUST276;Female;21;Beauty;4;€ 25,00;€ 100,00;4001RK
277;18-8-2025;CUST277;Male;36;Clothing;4;€ 25,00;€ 100,00;4001RK
278;13-3-2025;CUST278;Female;37;Clothing;4;€ 25,00;€ 100,00;4001RK
279;5-8-2025;CUST279;Male;50;Clothing;1;€ 500,00;€ 500,00;4001RK
280;4-4-2025;CUST280;Female;37;Clothing;3;€ 500,00;€ 1.500,00;4001RK
281;23-5-2025;CUST281;Female;29;Beauty;4;€ 500,00;€ 2.000,00;4001RK
282;25-8-2025;CUST282;Female;64;Electronics;4;€ 50,00;€ 200,00;4001RK
283;8-5-2025;CUST283;Female;18;Electronics;1;€ 500,00;€ 500,00;4001RK
284;8-2-2025;CUST284;Male;43;Clothing;4;€ 50,00;€ 200,00;4001RK
285;15-8-2025;CUST285;Female;31;Electronics;1;€ 25,00;€ 25,00;4001RK
286;9-10-2025;CUST286;Male;55;Electronics;2;€ 25,00;€ 50,00;4001RK
287;20-2-2025;CUST287;Male;54;Clothing;4;€ 25,00;€ 100,00;4001RK
288;26-1-2025;CUST288;Male;28;Clothing;4;€ 30,00;€ 120,00;4001RK
289;30-11-2025;CUST289;Male;53;Electronics;2;€ 30,00;€ 60,00;4001RK
290;4-10-2025;CUST290;Female;30;Beauty;2;€ 300,00;€ 600,00;4001RK
291;8-1-2025;CUST291;Male;60;Clothing;2;€ 300,00;€ 600,00;4001RK
292;17-2-2025;CUST292;Male;20;Beauty;4;€ 300,00;€ 1.200,00;4001RK
293;2-5-2025;CUST293;Male;50;Electronics;3;€ 30,00;€ 90,00;4001RK
294;27-3-2025;CUST294;Female;23;Clothing;3;€ 30,00;€ 90,00;4001RK
295;28-7-2025;CUST295;Female;27;Beauty;3;€ 300,00;€ 900,00;4001RK
296;6-9-2025;CUST296;Female;22;Clothing;4;€ 300,00;€ 1.200,00;4001RK
297;4-9-2025;CUST297;Female;40;Electronics;2;€ 500,00;€ 1.000,00;4001RK
298;20-4-2025;CUST298;Male;27;Beauty;4;€ 300,00;€ 1.200,00;4001RK
299;25-7-2025;CUST299;Male;61;Electronics;2;€ 500,00;€ 1.000,00;4001RK
300;31-1-2025;CUST300;Female;19;Electronics;4;€ 50,00;€ 200,00;4001RK
301;26-3-2025;CUST301;Male;30;Clothing;4;€ 30,00;€ 120,00;4001RK
302;14-7-2025;CUST302;Male;57;Beauty;2;€ 300,00;€ 600,00;4001RK
303;2-1-2025;CUST303;Male;19;Electronics;3;€ 30,00;€ 90,00;4001RK
304;19-7-2025;CUST304;Female;37;Electronics;2;€ 30,00;€ 60,00;4001RK
305;16-5-2025;CUST305;Female;18;Beauty;1;€ 30,00;€ 30,00;4001RK
